rankingName,rankingUrlCode,rankingYear,subject,rankingUrl,csvFileName
TIMES-Subject,times,2012,牙科Dentistry,https://ranking.promisingedu.com/2012-times-en-undergraduate-dentistry,TIMES_2012_牙科Dentistry.csv
TIMES-Subject,times,2012,"戏剧，舞蹈和电影制片学Drama, Dance and Cinematics",https://ranking.promisingedu.com/2012-times-en-undergraduate-drama_dance_and_cinematics,"TIMES_2012_戏剧，舞蹈和电影制片学Drama, Dance and Cinematics.csv"
TIMES-Subject,times,2012,东南亚研究East and South Asian Studies,https://ranking.promisingedu.com/2012-times-en-undergraduate-east_and_south_asian_studies,TIMES_2012_东南亚研究East and South Asian Studies.csv
TIMES-Subject,times,2012,经济学Economics,https://ranking.promisingedu.com/2012-times-en-undergraduate-economics,TIMES_2012_经济学Economics.csv
TIMES-Subject,times,2012,教育学Education,https://ranking.promisingedu.com/2012-times-en-undergraduate-education,TIMES_2012_教育学Education.csv
TIMES-Subject,times,2012,电子与电气工程Electrical and Elctronic Engineering,https://ranking.promisingedu.com/2012-times-en-undergraduate-electrical_and_elctronic_engineering,TIMES_2012_电子与电气工程Electrical and Elctronic Engineering.csv
TIMES-Subject,times,2012,英语English,https://ranking.promisingedu.com/2012-times-en-undergraduate-english,TIMES_2012_英语English.csv
TIMES-Subject,times,2012,食品科学Food Science,https://ranking.promisingedu.com/2012-times-en-undergraduate-food_science,TIMES_2012_食品科学Food Science.csv
TIMES-Subject,times,2012,法语French,https://ranking.promisingedu.com/2012-times-en-undergraduate-french,TIMES_2012_法语French.csv
TIMES-Subject,times,2012,一般工程General Engineering,https://ranking.promisingedu.com/2012-times-en-undergraduate-general_engineering,TIMES_2012_一般工程General Engineering.csv
TIMES-Subject,times,2012,地理与环境科学Geography and Enviornmental Sciences,https://ranking.promisingedu.com/2012-times-en-undergraduate-geography_and_enviornmental_sciences,TIMES_2012_地理与环境科学Geography and Enviornmental Sciences.csv
TIMES-Subject,times,2012,地质学Geology,https://ranking.promisingedu.com/2012-times-en-undergraduate-geology,TIMES_2012_地质学Geology.csv
TIMES-Subject,times,2012,德语German,https://ranking.promisingedu.com/2012-times-en-undergraduate-german,TIMES_2012_德语German.csv
TIMES-Subject,times,2012,历史History,https://ranking.promisingedu.com/2012-times-en-undergraduate-history,TIMES_2012_历史History.csv
